word,pinyin
动用,dòngyòng
动脉,dòngmài
动荡,dòngdàng
动身,dòngshēn
动静,dòngjing
助,zhù
助手,zhùshǒu
助理,zhùlǐ
助长,zhùzhǎng
努力,nǔlì
劫,jié
劫持,jiéchí
劲,jìn
劲头,jìntóu
劳动,láodòng
劳动力,láodònglì
劳驾,láojià
势力,shìli
势必,shìbì
勇于,yǒngyú
勇士,yǒngshì
勇敢,yǒnggǎn
勇气,yǒngqì
勉励,miǎnlì
勉强,miǎnqiǎng
勒,lēi
勘探,kāntàn
勤,qín
勤俭,qínjiǎn
勤劳,qínláo
勤奋,qínfèn
勤工俭学,qíngōngjiǎnxué
勤恳,qínkěn
勺子,sháozi
勾,gōu
勾结,gōujié
勿,wù
匀,yún
包,bāo
包办,bāobàn
包含,bāohán
包围,bāowéi
包子,bāozi
包干儿,bāogānr
包括,bāokuò
包袱,bāofu
包装,bāozhuāng
包裹,bāoguǒ
匆匆,cōngcōng
匆忙,cōngmáng
化,huà
化合,huàhé
化妆,huàzhuāng
化学,huàxué
化工,huàgōng
化石,huàshí
化纤,huàxiān
化肥,huàféi
化验,huàyàn
北,běi
北方,běifāng
北边,běibiān
北部,běibù
北面,běimiàn
匪徒,fěitú
匹,pǐ
区,qū
区分,qūfēn
区别,qūbié
区域,qūyù
医,yī
医务,yīwù
医务室,yīwùshì
医学,yīxué
医治,yīzhì
医生,yīshēng
医疗,yīliáo
医药,yīyào
医院,yīyuàn
十,shí
十全十美,shíquánshíměi
十分,shífēn
十足,shízú
千,qiān
千万,qiānwàn
千克,qiānkè
千军万马,qiānjūnwànmǎ
千方百计,qiānfāngbǎijì
千瓦,qiānwǎ
升,shēng
升学,shēngxué
午饭,wǔfàn
半,bàn
半夜,bànyè
半天,bàntiān
半导体,bàndǎotǐ
半岛,bàndǎo
半径,bànjìng
半截,bànjié
半拉,bànlǎ
半数,bànshù
半真半假,bànzhēnbànjiǎ
半路,bànlù
半边天,bànbiāntiān
半途而废,bàntú'érfèi
华丽,huálì
华人,huárén
华侨,huáqiáo
协会,xiéhuì
协作,xiézuò
协助,xiézhù
协商,xiéshāng
协定,xiédìng
协议,xiéyì
协调,xiétiáo
卑鄙,bēibǐ
卓越,zhuóyuè
单,dān
单位,dānwèi
单元,dānyuán
单独,dāndú
单纯,dānchún
单词,dāncí
单调,dāndiào
卖,mài
卖国,màiguó
南,nán
南方,nánfāng
南边,nánbiān
南部,nánbù
南面,nánmiàn
博士,bóshì
博物馆,bówùguǎn
博览会,bólǎnhuì
卜,bǔ
占,zhàn
占据,zhànjù
占有,zhànyǒu
占领,zhànlǐng
卡,kǎ
卡片,kǎpiàn
卡车,kǎchē
卧,wò
卧室,wòshì
卫星,wèixīng
卫生,wèishēng
印,yìn
印刷,yìnshuā
印染,yìnrǎn
印象,yìnxiàng
危害,wēihài
危急,wēijí
危机,wēijī
危险,wēixiǎn
即,jí
即使,jíshǐ
即便,jíbiàn
即将,jíjiāng
却,què
卵,luǎn
卷,juǎn
卸,xiè
厂商,chǎngshāng
厂家,chǎngjiā
厂房,chǎngfáng
厂长,chǎngzhǎng
厅,tīng
历代,lìdài
历史,lìshǐ
历年,lìnián
历来,lìlái
厉害,lìhai
压,yā
压制,yāzhì
压力,yālì
压抑,yāyì
压缩,yāsuō
压迫,yāpò
压韵,yāyùn
厌恶,yànwù
厕所,cèsuǒ
厘米,límǐ
厚,hòu
厚度,hòudù
原,yuán
原先,yuánxiān
原则,yuánzé
原告,yuángào
原因,yuányīn
原始,yuánshǐ
原子,yuánzǐ
原子弹,yuánzǐdàn
原子能,yuánzǐnéng
原料,yuánliào
原材料,yuáncáiliào
原来,yuánlái
原油,yuányóu
原理,yuánlǐ
原谅,yuánliàng
厦,shà
厨师,chúshī
厨房,chúfáng
去,qù
去世,qùshì
去年,qùnián
县,xiàn
县城,xiànchéng
县长,xiànzhǎng
叁,sān
参与,cānyù
参军,cānjūn
参加,cānjiā
参照,cānzhào
参考,cānkǎo
参观,cānguān
参议院,cānyìyuàn
参谋,cānmóu
参阅,cānyuè
又,yòu
叉,chā
叉子,chāzi
及其,jíqí
及早,jízǎo
及时,jíshí
及格,jígé
友人,yǒurén
友好,yǒuhǎo
友情,yǒuqíng
友爱,yǒu'ài
友谊,yǒuyì
双,shuāng
双方,shuāngfāng
反,fǎn
反之,fǎnzhī
反倒,fǎndào
反击,fǎnjī
反动,fǎndòng
反复,fǎnfù
反对,fǎnduì
反射,fǎnshè
反常,fǎncháng
反应,fǎnyìng
反思,fǎnsī
反感,fǎngǎn
反抗,fǎnkàng
反攻,fǎngōng
反映,fǎnyìng
反正,fǎnzhèng
反而,fǎn'ér
反问,fǎnwèn
反面,fǎnmiàn
反革命,fǎngémìng
反馈,fǎnkuì
反驳,fǎnbó
发,fā
发出,fāchū
发动,fādòng
发奋图强,fāfèntúqiáng
发射,fāshè
发展,fāzhǎn
发布,fābù
发愁,fāchóu
发扬,fāyáng
发扬光大,fāyángguāngdà
发抖,fādǒu
发挥,fāhuī
发明,fāmíng
发火,fāhuǒ
发炎,fāyán
发烧,fāshāo
发热,fārè
发现,fāxiàn
发生,fāshēng
发电,fādiàn
发病,fābìng
发票,fāpiào
发育,fāyù
发脾气,fāpíqi
发行,fāxíng
发表,fābiǎo
发觉,fājué
发言,fāyán
发誓,fāshì
发财,fācái
发起,fāqǐ
发达,fādá
叔叔,shūshu
取,qǔ
取代,qǔdài
取得,qǔdé
取消,qǔxiāo
受,shòu
受伤,shòushāng
变,biàn
变动,biàndòng
变化,biànhuà
变形,biànxíng
变成,biànchéng
变换,biànhuàn
变更,biàngēng
变质,biànzhì
变迁,biànqiān
变革,biàngé
叙谈,xùtán
叙述,xùshù
叛变,pànbiàn
叛徒,pàntú
叠,dié
口,kǒu
口号,kǒuhào
口头,kǒutóu
口岸,kǒu'àn
口气,kǒuqì
口腔,kǒuqiāng
口袋,kǒudài
口试,kǒushì
口语,kǒuyǔ
古,gǔ
古人,gǔrén
古代,gǔdài
古典,gǔdiǎn
古怪,gǔguài
古文,gǔwén
古老,gǔlǎo
句,jù
句子,jùzi
另,lìng
另外,lìngwài
叨唠,dāolao
只,zhǐ
只好,zhǐhǎo
只得,zhǐdé
只是,zhǐshì
只有,zhǐyǒu
只管,zhǐguǎn
只能,zhǐnéng
只要,zhǐyào
只顾,zhǐgù
叫,jiào
叫做,jiàozuò
叫唤,jiàohuan
叫喊,jiàohǎn
叫嚷,jiàorǎng
召开,zhàokāi
召集,zhàojí
叮嘱,dīngzhǔ
可,kě
可不是,kěbushì
可以,kěyǐ
可口,kěkǒu
可喜,kěxǐ
可巧,kěqiǎo
可怕,kěpà
可怜,kělián
可恶,kěwù
可惜,kěxī
可想而知,kěxiǎng'érzhī
可是,kěshì
可歌可泣,kěgēkěqì
可爱,kě'ài
可笑,kěxiào
可能,kěnéng
可行,kěxíng
可见,kějiàn
可观,kěguān
可贵,kěguì
可靠,kěkào
台,tái
台阶,táijiē
台风,táifēng
史,shǐ
史料,shǐliào
右,yòu
右边,yòubian
叶子,yèzi
号,hào
号召,hàozhào
号码,hàomǎ
号称,hàochēng
司令,sīlìng
司令部,sīlìngbù
司机,sījī
司法,sīfǎ
叹,tàn
叹气,tànqì
叼,diāo
吃,chī
吃亏,chīkuī
吃力,chīlì
吃惊,chījīng
吃苦,chīkǔ
各,gè
各别,gèbié
各奔前程,gèbènqiánchéng
各式各样,gèshìgèyàng
各界,gèjiè
各种,gèzhǒng
各自,gèzì
各行各业,gèhánggèyè
合,hé
合乎,héhū
合伙,héhuǒ
合作,hézuò
合同,hétong
合唱,héchàng
合并,hébìng
合情合理,héqínghélǐ
合成,héchéng
合格,hégé
合法,héfǎ
合理,hélǐ
合算,hésuàn
合营,héyíng
合资,hézī
合适,héshì
合金,héjīn
吉普车,jípǔchē
吉祥,jíxiáng
吊,diào
同,tóng
同一,tóngyī
同事,tóngshì
同伴,tóngbàn
同学,tóngxué
同屋,tóngwū
同年,tóngnián
同志,tóngzhì
同情,tóngqíng
同意,tóngyì
同时,tóngshí
同期,tóngqī
同样,tóngyàng
同步,tóngbù
同盟,tóngméng
同等,tóngděng
同类,tónglèi
同胞,tóngbāo
同行,tóngháng
名,míng
名义,míngyì
名人,míngrén
名副其实,míngfùqíshí
名单,míngdān
名声,míngshēng
名字,míngzi
名次,míngcì
名牌,míngpái
名称,míngchēng
名胜,míngshèng
名誉,míngyù
名贵,míngguì
名额,míng'é
后,hòu
后代,hòudài
后勤,hòuqín
后台,hòutái
后天,hòutiān
后头,hòutou
后年,hòunián
后悔,hòuhuǐ
后方,hòufāng
后期,hòuqī
后来,hòulái
后果,hòuguǒ
后边,hòubiān
后退,hòutuì
后面,hòumian
吐,tù
向,xiàng
向导,xiàngdǎo
向往,xiàngwǎng
向来,xiànglái
吓,xià
吗,ma
君,jūn
吞,tūn
否,fǒu
否决,fǒujué
否则,fǒuzé
否定,fǒudìng
否认,fǒurèn
吧,ba
吨,dūn
吩咐,fēnfù
含,hán
含义,hányì
含有,hányǒu
含糊,hánhu
含量,hánliàng
听,tīng
听众,tīngzhòng
听写,tīngxiě
听取,tīngqǔ
听见,tīngjiàn
听讲,tīngjiǎng
听话,tīnghuà
听说,tīngshuō
启事,qǐshì
启发,qǐfā
启示,qǐshì
启程,qǐchéng
吵,chǎo
吵嘴,chǎozuǐ
吵架,chǎojià
吵闹,chǎonào
吸,xī
吸取,xīqǔ
吸引,xīyǐn
吸收,xīshōu
吸毒,xīdú
吸烟,xīyān
吹,chuī
吹捧,chuīpěng
吹牛,chuīniú
吻,wěn
吼,hǒu
呀,yā
呆,dāi
呈,chéng
呈现,chéngxiàn
告,gào
告别,gàobié
告状,gàozhuàng
告诉,gàosu
告诫,gàojiè
告辞,gàocí
呐,na
呕吐,ǒutù
员,yuán
呜咽,wūyè
呢,ne
周,zhōu
周到,zhōudao
周围,zhōuwéi
周密,zhōumì
周年,zhōunián
周折,zhōuzhé
周期,zhōuqī
周末,zhōumò
周转,zhōuzhuǎn
味,wèi
味道,wèidao
呵,hē
呻吟,shēnyín
呼,hū
呼吁,hūyù
呼吸,hūxī
呼呼,hūhū
呼啸,hūxiào
呼声,hūshēng
命,mìng
命令,mìnglìng
命名,mìngmíng
命运,mìngyùn
命题,mìngtí
咋,zǎ
和,hé
和尚,héshang
和平,hépíng
和平共处,hépínggòngchǔ
和气,héqi
和睦,hémù
和约,héyuē
和蔼,hé'ǎi
和解,héjiě
和谐,héxié
咖啡,kāfēi
咨询,zīxún
咬,yǎo
咱,zán
咱们,zánmen
咳,hāi
咳嗽,késou
咸,xián
咽,yàn
哀悼,āidào
哀求,āiqiú
品,pǐn
品尝,pǐncháng
品德,pǐndé
品种,pǐnzhǒng
品行,pǐnxíng
品质,pǐnzhì
哄,hòng
哆嗦,duōsuo
哇,wa
哈哈,hāhā
响,xiǎng
响亮,xiǎngliàng
响声,xiǎngsheng
响应,xiǎngyìng
哎,āi
哎呀,āiyā
哎哟,āiyō
哑,yǎ
哗哗,huāhuā
哟,yo
哥哥,gēge
哦,ò
哨,shào
哨兵,shàobīng
哪,na
哪个,nǎge
哪些,nǎxiē
哪怕,nǎpà
哪里,nǎlǐ
哭,kū
哲学,zhéxué
哼,hēng
唉,āi
唤,huàn
售,shòu
售货,shòuhuò
唯心主义,wéixīnzhǔyì
唯心论,wéixīnlùn
唯物主义,wéiwùzhǔyì
唯物论,wéiwùlùn
唱,chàng
唾沫,tuòmo
啃,kěn
啄,zhuó
商,shāng
商业,shāngyè
商人,shāngrén
商品,shāngpǐn
商场,shāngchǎng
商店,shāngdiàn
商标,shāngbiāo
商讨,shāngtǎo
商议,shāngyì
商量,shāngliang
啊,ā
啤酒,píjiǔ
啦,la
喂,wèi
善,shàn
善于,shànyú
善良,shànliáng
喇叭,lǎba
喉咙,hóulóng
喊,hǎn
喊叫,hǎnjiào
喘,chuǎn
喜,xǐ
喜事,xǐshì
喜悦,xǐyuè
喜欢,xǐhuan
喜爱,xǐ'ài
喜讯,xǐxùn
喜鹊,xǐque
喝,hē
喷,pēn
喷射,pēnshè
喽,lou
嗅,xiù
嗓子,sǎngzi
嗡,wēng
嗯,ng
嘉奖,jiājiǎng
嘛,ma
嘱咐,zhǔfu
嘱托,zhǔtuō
嘲笑,cháoxiào
嘴,zuǐ
嘴唇,zuǐchún
嘴巴,zuǐba
嘿,hēi
噢,ō
器,qì
器具,qìjù
器官,qìguān
器材,qìcái
器械,qìxiè
噪音,zàoyīn
嚷,rǎng
嚼,jiáo
四,sì
四周,sìzhōu
四处,sìchù
四季,sìjì
四方,sìfāng
四肢,sìzhī
四面八方,sìmiàn_bāfāng
回,huí
回信,huíxìn
回击,huíjī
回去,huíqù
回头,huítóu
回忆,huíyì
回想,huíxiǎng
回收,huíshōu
回来,huílái
回答,huídá
回避,huíbì
回顾,huígù
因,yīn
因为,yīnwèi
因此,yīncǐ
因素,yīnsù
因而,yīn'ér
团,tuán
团体,tuántǐ
团员,tuányuán
团圆,tuányuán
团结,tuánjié
团聚,tuánjù
团长,tuánzhǎng
园,yuán
园林,yuánlín
困,kùn
困苦,kùnkǔ
困难,kùnnan
围,wéi
围巾,wéijīn
围攻,wéigōng
围棋,wéiqí
围绕,wéirào
固体,gùtǐ
固定,gùdìng
固执,gùzhí
固有,gùyǒu
固然,gùrán
国,guó
国产,guóchǎn
国会,guóhuì
国力,guólì
国务院,Guówùyuàn
国土,guótǔ
国家,guójiā
国庆节,Guóqìngjié
国库券,guókùquàn
国情,guóqíng
国旗,guóqí
国有,guóyǒu
国民,guómín
国民党,Guómíndǎng
国法,guófǎ
国王,guówáng
国籍,guójí
国营,guóyíng
国防,guófáng
国际,guójì
国际主义,guójìzhǔyì
国际法,guójìfǎ
图,tú
图书馆,túshūguǎn
图形,túxíng
图案,tú'àn
图片,túpiàn
图画,túhuà
图纸,túzhǐ
图表,túbiǎo
图象,túxiàng
圆,yuán
圆光,yuánguāng
圆满,yuánmǎn
圆珠笔,yuánzhūbǐ
圈,quān
圈套,quāntào
圈子,quānzi
土,tǔ
土地,tǔdì
土壤,tǔrǎng
土豆,tǔdòu
圣诞节,Shèngdànjié
在,zài
在乎,zàihu
在于,zàiyú
在座,zàizuò
在意,zàiyì
地,dì
地下,dìxià
地主,dìzhǔ
地位,dìwèi
地势,dìshì
地区,dìqū
地图,dìtú
地址,dìzhǐ
地带,dìdài
地形,dìxíng
地方,dìfang
地板,dìbǎn
地步,dìbù
地毯,dìtǎn
地点,dìdiǎn
地球,dìqiú
地理,dìlǐ
地质,dìzhì
地道,dìdào
地铁,dìtiě
地震,dìzhèn
地面,dìmiàn
场,chǎng
场合,chǎnghé
场地,chǎngdì
场所,chǎngsuǒ
场面,chǎngmiàn
均,jūn
均匀,jūnyún
坏,huài
坏处,huàichu
坏蛋,huàidàn
坐,zuò
坐班,zuòbān
坑,kēng
块,kuài
坚信,jiānxìn
坚决,jiānjué
坚固,jiāngù
坚定,jiāndìng
坚实,jiānshí
坚强,jiānqiáng
坚持,jiānchí
坚硬,jiānyìng
坚贞不屈,jiānzhēnbùqū
坚韧,jiānrèn
坛,tán
坝,bà
坟,fén
坟墓,fénmù
坡,pō
坦克,tǎnkè
坦白,tǎnbái
坯,pī
垂,chuí
垂直,chuízhí
垃圾,lājī
垄断,lǒngduàn
型,xíng
型号,xínghào
垒,lěi
垫,diàn
垮,kuǎ
埋,mái
埋头,máitóu
埋怨,mányuàn
埋没,máimò
城,chéng
城市,chéngshì
城镇,chéngzhèn
埠,bù
培养,péiyǎng
培育,péiyù
培训,péixùn
基地,jīdì
基层,jīcéng
基本,jīběn
基督教,Jīdūjiào
基础,jīchǔ
基金,jījīn
堆,duī
堆积,duījī
堕落,duòluò
堡垒,bǎolěi
堤,dī
堵,dǔ
堵塞,dǔsè
塌,tā
塑料,sùliào
塑造,sùzào
塔,tǎ
塘,táng
塞,sāi
填,tián
填写,tiánxiě
填补,tiánbǔ
境,jìng
境地,jìngdì
境界,jìngjiè
墓,mù
墙,qiáng
墙壁,qiángbì
增,zēng
增产,zēngchǎn
增加,zēngjiā
增强,zēngqiáng
增援,zēngyuán
增添,zēngtiān
增设,zēngshè
增进,zēngjìn
增长,zēngzhǎng
墨,mò
墨水儿,mòshuǐr
壁,bì
士兵,shìbīng
壮,zhuàng
壮丽,zhuànglì
壮大,zhuàngdà
壮志,zhuàngzhì
壮烈,zhuàngliè
壮观,zhuàngguān
声,shēng
声势,shēngshì
声明,shēngmíng
声誉,shēngyù
声调,shēngdiào
声音,shēngyīn
壳,ké
壶,hú
壹,yī
处,chù
处于,chǔyú
处决,chǔjué
处分,chǔfèn
处境,chǔjìng
处处,chùchù
处方,chǔfāng
处理,chǔlǐ
处罚,chǔfá
处置,chǔzhì
备用,bèiyòng
复,fù
复习,fùxí
复兴,fùxīng
复制,fùzhì
复印,fùyìn
复合,fùhé
复杂,fùzá
复活,fùhuó
复活节,Fùhuójié
复辟,fùbì
复述,fùshù
夏,xià
夏天,xiàtiān
夏季,xiàjì
外,wài
外事,wàishì
外交,wàijiāo
外出,wàichū
外力,wàilì
外向型,wàixiàngxíng
外国,wàiguó
外地,wàidì
外头,wàitou
外婆,wàipó
外宾,wàibīn
外形,wàixíng
外汇,wàihuì
外流,wàiliú
外电,wàidiàn
外界,wàijiè
外祖母,wàizǔmǔ
外祖父,wàizǔfù
外科,wàikē
外行,wàiháng
外衣,wàiyī
外表,wàibiǎo
外观,wàiguān
外语,wàiyǔ
外资,wàizī
外边,wàibiān
外部,wàibù
外面,wàimian
多,duō
多么,duōme
多亏,duōkuī
多余,duōyú
多劳多得,duōláo_duōdé
多半,duōbàn
多少,duōshao
多数,duōshù
夜,yè
夜晚,yèwǎn
夜班,yèbān
夜里,yèli
夜间,yèjiān
够,gòu
大,dà
大于,dàyú
大人,dàren
大众,dàzhòng
大伙儿,dàhuǒr
大会,dàhuì
大体,dàtǐ
大使,dàshǐ
大使馆,dàshǐguǎn
大便,dàbiàn
大公无私,dàgōngwúsī
大力,dàlì
大包大揽,dàbāodàlǎn
大半,dàbàn
大厦,dàshà
大同小异,dàtóngxiǎoyì
大哥,dàgē
大地,dàdì
大型,dàxíng
大声,dàshēng
大多,dàduō
大多数,dàduōshù
大大,dàdà
大夫,dàifu
大嫂,dàsǎo
大学,dàxué
大家,dàjiā
大小,dàxiǎo
大局,dàjú
大意,dàyì
大批,dàpī
大拇指,dàmuzhǐ
大方,dàfang
大无畏,dàwúwèi
大有可为,dàyǒukěwéi
大概,dàgài
大气压,dàqìyā
大炮,dàpào
大理石,dàlǐshí
大米,dàmǐ
大约,dàyuē
大肆,dàsì
大胆,dàdǎn
大脑,dànǎo
大臣,dàchén
大自然,dàzìrán
大致,dàzhì
大街,dàjiē
大衣,dàyī
大道,dàdào
大都,dàdū
大量,dàliàng
大锅饭,dàguōfàn
大队,dàduì
大陆,dàlù
大雁,dàyàn
天,tiān
天上,tiānshàng
天下,tiānxià
天主教,Tiānzhǔjiào
天地,tiāndì
天堂,tiāntáng
天才,tiāncái
天文,tiānwén
天气,tiānqì
天然,tiānrán
天然气,tiānránqì
天生,tiānshēng
天真,tiānzhēn
天空,tiānkōng
天线,tiānxiàn
天色,tiānsè
天长地久,tiānchángdìjiǔ
太,tài
太太,tàitai
太平,tàipíng
太空,tàikōng
太阳,tàiyáng
太阳能,tàiyángnéng
夫人,fūren
夫妇,fūfù
夫妻,fūqī
失,shī
失业,shīyè
失事,shīshì
失去,shīqù
失学,shīxué
失掉,shīdiào
失效,shīxiào
失望,shīwàng
失眠,shīmián
失约,shīyuē
失误,shīwù
失败,shībài
失踪,shīzōng
头,tóu
头发,tóufa
头子,tóuzi
头脑,tóunǎo
夸,kuā
夸奖,kuājiǎng
夹,jiā
夹子,jiāzi
夹杂,jiāzá
夺,duó
夺取,duóqǔ
夺得,duódé
奇妙,qímiào
奇怪,qíguài
奇特,qítè
奇花异草,qíhuāyìcǎo
奇迹,qíjì
奉献,fèngxiàn
奉行,fèngxíng
奋勇,fènyǒng
奋战,fènzhàn
奋斗,fèndòu
奏,zòu
奔,bèn
奔腾,bēnténg
奔跑,bēnpǎo
奔驰,bēnchí
奖,jiǎng
奖励,jiǎnglì
奖品,jiǎngpǐn
奖学金,jiǎngxuéjīn
奖状,jiǎngzhuàng
奖金,jiǎngjīn
套,tào
奠定,diàndìng
奢侈,shēchǐ
奥秘,àomì
女,nǚ
女人,nǚrén
女儿,nǚér
女士,nǚshì
女子,nǚzǐ
女性,nǚxìng
奴役,núyì
奴隶,núlì
奶,nǎi
奶奶,nǎinai
奶粉,nǎifěn
奸,jiān
她,tā
她们,tāmen
好,hǎo
好久,hǎojiǔ
好些,hǎoxiē
好像,hǎoxiàng
好吃,hǎochī
好听,hǎotīng
好在,hǎozài
好坏,hǎohuài
好处,hǎochu
好多,hǎoduō
好奇,hàoqí
好好儿,hǎohāor
好客,hàokè
好容易,hǎoróngyì
好感,hǎogǎn
好样的,hǎoyàngde
好比,hǎobǐ
好玩儿,hǎowánr
好看,hǎokàn
好说,hǎoshuō
好转,hǎozhuǎn
如,rú
如下,rúxià
如今,rújīn
如何,rúhé
如同,rútóng
如意,rúyì
如果,rúguǒ
如此,rúcǐ
如醉如痴,rúzuìrúchī
妄图,wàngtú
妄想,wàngxiǎng
妇人,fùrén
妇女,fùnǚ
妈妈,māma
妖怪,yāoguài
妙,miào
妥,tuǒ
妥协,tuǒxié
妥善,tuǒshàn
妥当,tuǒdang
妨碍,fáng'ài
妹妹,mèimei
妻子,qīzi
始,shǐ
始终,shǐzhōng
姐姐,jiějie
姑且,gūqiě
姑姑,gūgu
姑娘,gūniang
姓,xìng
姓名,xìngmíng
委员,wěiyuán
委屈,wěiqu
委托,wěituō
姜,jiāng
姥姥,lǎolao
姨,yí
姿势,zīshì
姿态,zītài
威信,wēixìn
威力,wēilì
威望,wēiwàng
威胁,wēixié
威风,wēifēng
娃娃,wáwa
娇,jiāo
娇气,jiāoqì
娘,niáng
娱乐,yúlè
娶,qǔ
婆婆,pópo
婚姻,hūnyīn
婴儿,yīng'ér
婶子,shěnzi
媒介,méijiè
媳妇,xífù
嫁,jià
嫂子,sǎozi
嫉妒,jídù
嫌,xián
嫌疑,xiányí
嫩,nèn
子,zǐ
子孙,zǐsūn
子弟,zǐdì
子弹,zǐdàn
孔,kǒng
孔雀,kǒngquè
孕育,yùnyù
字,zì
字典,zìdiǎn
字母,zìmǔ
存,cún
存在,cúnzài
存放,cúnfàng
存款,cúnkuǎn
孙女,sūnnǚ
孙子,sūnzi
孝顺,xiàoshùn
季,jì
季度,jìdù
季节,jìjié
孤单,gūdān
孤独,gūdú
孤立,gūlì
学,xué
学习,xuéxí
学会,xuéhuì
学位,xuéwèi
学制,xuézhì
学历,xuélì
学年,xuénián
学时,xuéshí
学期,xuéqī
学术,xuéshù
学校,xuéxiào
学派,xuépài
学生,xuésheng
学科,xuékē
学者,xuézhě
学说,xuéshuō
学费,xuéfèi
学问,xuéwen
学院,xuéyuàn
孩子,háizi
宁可,nìngkě
宁愿,nìngyuàn
宁肯,nìngkěn
宁静,níngjìng
它,tā
它们,tāmen
宇宙,yǔzhòu
守,shǒu
守卫,shǒuwèi
守法,shǒufǎ
安,ān
安全,ānquán
安宁,ānníng
安定,āndìng
安心,ānxīn
安慰,ānwèi
安排,ānpái
安稳,ānwěn
安置,ānzhì
安装,ānzhuāng
安详,ānxiáng
安静,ānjìng
完,wán
完全,wánquán
完善,wánshàn
完备,wánbèi
完成,wánchéng
完整,wánzhěng
完毕,wánbì
完蛋,wándàn
宏伟,hóngwěi
宏大,hóngdà
宗教,zōngjiào
宗旨,zōngzhǐ
宗派,zōngpài
官,guān
官僚,guānliáo
官僚主义,guānliáozhǔyì
官员,guānyuán
官方,guānfāng
定,dìng
定义,dìngyì
定价,dìngjià
定向,dìngxiàng
定居,dìngjū
定律,dìnglǜ
定性,dìngxìng
定期,dìngqī
定点,dìngdiǎn
定理,dìnglǐ
定量,dìngliàng
定额,dìng'é
宝,bǎo
宝剑,bǎojiàn
宝库,bǎokù
宝石,bǎoshí
宝贝,bǎobèi
宝贵,bǎoguì
实,shí
实习,shíxí
实事求是,shíshìqiúshì
实体,shítǐ
实况,shíkuàng
实力,shílì
实在,shízài
实惠,shíhuì
实施,shíshī
实物,shíwù
实现,shíxiàn
实用,shíyòng
实行,shíxíng
实话,shíhuà
实质,shízhì
实践,shíjiàn
实际,shíjì
审,shěn
审判,shěnpàn
审定,shěndìng
审批,shěnpī
审查,shěnchá
审理,shěnlǐ
审美,shěnměi
审议,shěnyì
审讯,shěnxùn
客,kè
客人,kèren
客厅,kètīng
客气,kèqi
客观,kèguān
客车,kèchē
宣传,xuānchuán
宣告,xuāngào
宣布,xuānbù
宣扬,xuānyáng
宣称,xuānchēng
宣言,xuānyán
宣誓,xuānshì
宣读,xuāndú
室,shì
宪法,xiànfǎ
宫,gōng
宫殿,gōngdiàn
宰,zǎi
害,hài
害处,hàichu
害怕,hàipà
害羞,hàixiū
害虫,hàichóng
宴会,yànhuì
宴席,yànxí
宴请,yànqǐng
家,jiā
家乡,jiāxiāng
家伙,jiāhuo
家具,jiāju
家务,jiāwù
家喻户晓,jiāyùhùxiǎo
家属,jiāshǔ
家常,jiācháng
家庭,jiātíng
家畜,jiāchù
家长,jiāzhǎng
容,róng
容器,róngqì
容忍,róngrěn
容易,róngyì
容积,róngjī
容纳,róngnà
容许,róngxǔ
容量,róngliàng
宽,kuān
宽大,kuāndà
宽广,kuānguǎng
宽敞,kuānchang
宽阔,kuānkuò
宾馆,bīnguǎn
宿舍,sùshè
寂寞,jìmò
寂静,jìjìng
寄,jì
寄托,jìtuō
密,mì
密切,mìqiè
密封,mìfēng
密度,mìdù
富,fù
富余,fùyu
富强,fùqiáng
富有,fùyǒu
富裕,fùyù
寒,hán
寒假,hánjià
寒冷,hánlěng
寒暄,hánxuān
寓,yù
寓言,yùyán
寡妇,guǎfu
寨,zhài
寸,cùn
对,duì
对_来说,duì_láishuō
对不起,duìbuqǐ
对了,duìle
对于,duìyú
对付,duìfu
对头,duìtóu
对岸,duì'àn
对应,duìyìng
对待,duìdài
对得起,duìdeqǐ
对手,duìshǒu
对抗,duìkàng
对方,duìfāng
对比,duìbǐ
对照,duìzhào
对称,duìchèn
对立,duìlì
对策,duìcè
对联,duìlián
对话,duìhuà
对象,duìxiàng
对门,duìmén
对面,duìmiàn
寺,sì
寻,xún
寻找,xúnzhǎo
寻求,xúnqiú
导体,dǎotǐ
导师,dǎoshī
导弹,dǎodàn
导游,dǎoyóu
导演,dǎoyǎn
导致,dǎozhì
导航,dǎoháng
寿命,shòumìng
封,fēng
封建,fēngjiàn
封锁,fēngsuǒ
封闭,fēngbì
射,shè
射击,shèjī
将,jiāng
将军,jiāngjūn
将来,jiānglái
将要,jiāngyào
将近,jiāngjìn
尊,zūn
尊严,zūnyán
尊敬,zūnjìng
尊称,zūnchēng
尊重,zūnzhòng
小,xiǎo
小伙子,xiǎohuǒzi
小便,xiǎobiàn
小型,xiǎoxíng
小姐,xiǎojie
小子,xiǎozi
小学,xiǎoxué
小学生,xiǎoxuéshēng
小孩儿,xiǎoháir
小心,xiǎoxīn
小心翼翼,xiǎoxīnyìyì
小提琴,xiǎotíqín
小数,xiǎoshù
小数点,xiǎoshùdiǎn
小时,xiǎoshí
小朋友,xiǎopéngyou
小米,xiǎomǐ
小组,xiǎozǔ
小说,xiǎoshuō
小鬼,xiǎoguǐ
小麦,xiǎomài
少,shǎo
少先队,shàoxiānduì
少女,shàonǚ
少年,shàonián
少数,shǎoshù
少数民族,shǎoshùmínzú
少量,shǎoliàng
尖,jiān
尖子,jiānzi
尖端,jiānduān
尖锐,jiānruì
尘土,chéntǔ
尚,shàng
